muestra;ancho_de_la_semilla;altura_de_la_semilla;altura_total;radio1;radio2;radio3;angulo1;angulo2;angulo3;ancho1;ancho2;ancho3
1;8,00;13,00;39,70;30,00;22,50;29,00;0,00;122,00;260,00;7,20;8,00;7,70
2;7,20;11,20;38,20;28,50;28,00;28,00;0,00;104,00;251,00;7,70;6,50;7,70
3;7,00;11,20;40,00;30,10;23,80;27,00;0,00;133,00;245,00;8,80;6,50;7,00
4;8,50;11,20;41,40;22,50;22,00;17,00;0,00;90,00;246,00;6,40;6,20;6,00
5;6,70;11,20;37,40;27,50;20,90;27,00;0,00;115,00;247,00;7,50;6,90;6,70
6;6,30;11,00;33,60;31,50;29,00;31,00;0,00;100,00;265,00;6,30;6,30;6,20
7;9,00;15,00;65,00;30,00;32,00;28,00;0,00;77,00;216,00;12,00;14,00;13,00
8;8,00;12,00;30,00;31,00;33,00;29,00;0,00;156,00;242,00;8,00;7,00;8,00
9;7,10;15,50;44,50;31,50;25,00;24,00;0,00;117,50;229,00;7,00;7,00;7,00
10;8,00;15,00;45,50;29,00;22,50;25,50;0,00;124,00;233,00;9,00;8,10;7,50
11;9,20;13,50;36,00;32,00;29,00;31,50;0,00;82,00;275,00;7,00;8,00;7,50
12;8,00;12,00;41,00;25,50;27,00;26,50;0,00;105,00;217,00;7,90;7,50;8,00
13;8,00;13,10;33,10;19,40;18,40;19,80;0,00;121,00;240,00;6,85;6,95;6,25
14;7,10;13,20;32,10;22,75;29,95;24,15;0,00;81,00;285,00;7,05;7,20;6,40
15;9,15;15,50;40,70;26,75;20,00;22,75;0,00;120,00;220,00;7,00;6,45;6,85
16;8,85;14,90;53,30;17,30;15,35;12,65;0,00;112,00;231,00;7,85;7,90;7,80
17;7,05;13,05;32,30;18,90;19,50;16,55;0,00;96,00;234,00;6,60;6,85;6,95
18;7,95;13,15;26,30;22,00;25,70;23,95;0,00;142,00;224,00;7,15;7,00;7,40
19;8,00;14,00;38,00;18,00;17,00;18,00;0,00;97,00;221,00;8,00;7,00;8,00
20;7,00;12,00;34,00;24,00;21,00;23,00;0,00;144,00;262,00;8,00;7,00;7,00
21;7,00;12,00;35,00;20,00;20,00;16,00;0,00;108,00;245,00;7,00;6,00;7,00
22;7,00;11,00;28,00;25,00;24,00;21,00;0,00;146,00;249,00;7,00;7,00;7,00
23;8,00;12,00;40,00;24,00;22,00;22,00;0,00;134,00;288,00;8,00;8,00;8,00
24;9,00;12,00;44,00;28,00;17,00;18,00;0,00;101,00;245,00;8,00;7,00;8,00
25;9,00;16,00;43,00;27,00;26,00;25,00;0,00;148,00;253,00;9,00;8,00;9,00
26;11,50;17,00;41,00;30,00;28,00;32,00;0,00;159,00;224,00;8,50;8,00;7,50
27;10,50;17,50;43,00;28,50;34,00;39,00;0,00;137,00;214,00;7,00;6,50;6,50
28;11,50;13,50;40,00;24,00;25,00;26,00;0,00;116,00;253,00;6,50;9,00;7,00
29;10,00;18,00;45,00;28,00;2,90;31,50;0,00;175,00;265,00;7,00;9,00;7,50
30;11,00;18,00;42,00;28,50;30,50;28,00;0,00;152,00;269,00;10,50;9,00;11,00
31;9,00;10,00;40,00;27,00;30,00;31,00;0,00;135,00;255,00;7,00;8,00;7,00
32;7,00;11,00;42,00;30,00;29,00;30,00;0,00;145,00;260,00;7,00;9,00;6,00
33;7,00;14,00;34,00;32,00;30,00;28,00;0,00;120,00;240,00;6,00;7,00;8,00
34;8,00;14,00;45,00;35,00;35,00;27,00;0,00;165,00;210,00;5,00;7,00;5,00
35;8,00;11,00;43,00;34,00;37,00;37,00;0,00;135,00;270,00;6,00;5,00;6,00
36;7,00;11,00;42,00;25,00;29,00;22,00;0,00;150,00;255,00;4,50;7,00;5,00
